level_1_knowledge,level_2_knowledge,level_3_knowledge
091c0222-fd12-11eb-b2a3-c502b9bed136,091c18ca-fd12-11eb-b2a3-c502b9bed136,091c2a68-fd12-11eb-b2a3-c502b9bed136
091afc06-fd12-11eb-b2a3-c502b9bed136,091bb024-fd12-11eb-b2a3-c502b9bed136,091bb178-fd12-11eb-b2a3-c502b9bed136
091be71a-fd12-11eb-b2a3-c502b9bed136,091be7ba-fd12-11eb-b2a3-c502b9bed136,091be85a-fd12-11eb-b2a3-c502b9bed136
091c2e14-fd12-11eb-b2a3-c502b9bed136,091c4f02-fd12-11eb-b2a3-c502b9bed136,091c5380-fd12-11eb-b2a3-c502b9bed136
091afc06-fd12-11eb-b2a3-c502b9bed136,091b6754-fd12-11eb-b2a3-c502b9bed136,091b6bd2-fd12-11eb-b2a3-c502b9bed136
091afc06-fd12-11eb-b2a3-c502b9bed136,091b886a-fd12-11eb-b2a3-c502b9bed136,091b922e-fd12-11eb-b2a3-c502b9bed136
091afc06-fd12-11eb-b2a3-c502b9bed136,091b886a-fd12-11eb-b2a3-c502b9bed136,091b8cf2-fd12-11eb-b2a3-c502b9bed136
091c2e14-fd12-11eb-b2a3-c502b9bed136,091c4f02-fd12-11eb-b2a3-c502b9bed136,091c55ec-fd12-11eb-b2a3-c502b9bed136
091c2e14-fd12-11eb-b2a3-c502b9bed136,091c4f02-fd12-11eb-b2a3-c502b9bed136,091c5b50-fd12-11eb-b2a3-c502b9bed136
091c0222-fd12-11eb-b2a3-c502b9bed136,091c18ca-fd12-11eb-b2a3-c502b9bed136,091c2ba8-fd12-11eb-b2a3-c502b9bed136
091afc06-fd12-11eb-b2a3-c502b9bed136,091b0660-fd12-11eb-b2a3-c502b9bed136,091b1d8a-fd12-11eb-b2a3-c502b9bed136
091c2e14-fd12-11eb-b2a3-c502b9bed136,091c2ec8-fd12-11eb-b2a3-c502b9bed136,091c31c0-fd12-11eb-b2a3-c502b9bed136
091afc06-fd12-11eb-b2a3-c502b9bed136,091b886a-fd12-11eb-b2a3-c502b9bed136,091b8914-fd12-11eb-b2a3-c502b9bed136
091afc06-fd12-11eb-b2a3-c502b9bed136,091b020a-fd12-11eb-b2a3-c502b9bed136,091b0908-fd12-11eb-b2a3-c502b9bed136
091afc06-fd12-11eb-b2a3-c502b9bed136,091b78e8-fd12-11eb-b2a3-c502b9bed136,091b80e0-fd12-11eb-b2a3-c502b9bed136
091afc06-fd12-11eb-b2a3-c502b9bed136,091b44b8-fd12-11eb-b2a3-c502b9bed136,091b539a-fd12-11eb-b2a3-c502b9bed136
091c2e14-fd12-11eb-b2a3-c502b9bed136,091c4f02-fd12-11eb-b2a3-c502b9bed136,091c506a-fd12-11eb-b2a3-c502b9bed136
091c0222-fd12-11eb-b2a3-c502b9bed136,091c02c2-fd12-11eb-b2a3-c502b9bed136,091c10f0-fd12-11eb-b2a3-c502b9bed136
091c9020-fd12-11eb-b2a3-c502b9bed136,091cd60c-fd12-11eb-b2a3-c502b9bed136,091cd9ae-fd12-11eb-b2a3-c502b9bed136
091afc06-fd12-11eb-b2a3-c502b9bed136,091b020a-fd12-11eb-b2a3-c502b9bed136,091b0ff2-fd12-11eb-b2a3-c502b9bed136
091afc06-fd12-11eb-b2a3-c502b9bed136,091b5da4-fd12-11eb-b2a3-c502b9bed136,091b66aa-fd12-11eb-b2a3-c502b9bed136
091afc06-fd12-11eb-b2a3-c502b9bed136,091b0660-fd12-11eb-b2a3-c502b9bed136,091b1e2a-fd12-11eb-b2a3-c502b9bed136
091c2e14-fd12-11eb-b2a3-c502b9bed136,091c4f02-fd12-11eb-b2a3-c502b9bed136,091c51aa-fd12-11eb-b2a3-c502b9bed136
091afc06-fd12-11eb-b2a3-c502b9bed136,091b9940-fd12-11eb-b2a3-c502b9bed136,091ba9d0-fd12-11eb-b2a3-c502b9bed136
